Title,Description,Name,Url
Hospital Activity,"Quarterly activity data relating to GP and other referrals for an outpatient appointment, the total number of attendances at consultant outpatient clinics; including patients seen for their first appointments as well as those attending for subsequent or follow up appointments. Also, the number of patients who did not attend their outpatient appointment and gave no advance warning or those who arrived too late to be seen. Elective admission events are decisions to admit, patients admitted, patients failed to attend, removals other than admission, patients suspended and patients who have self-deferred. Figures are submitted quarterly on the Quarterly Activity Return (QAR) by NHS Trusts, PCTs and Independent sector providers treating NHS patients.",Quarterly Hospital Activity,http://www.england.nhs.uk/statistics/statistical-work-areas/hospital-activity/quarterly-hospital-activity/qar-data/
Integrated Performance Measures Monitoring,"The number of people who were admitted to hospital following a stroke, who then spent 90% of their time on a stroke unit.

The number of Transient Ischaemic Attack (TIA) cases with a higher risk of stroke who are then subsequently treated within 24 hours in an outpatient setting
",Stroke Data,http://www.england.nhs.uk/statistics/statistical-work-areas/integrated-performance-measures-monitoring/stroke-data/
Integrated Performance Measures Monitoring,The number of people who have been offered screening for diabetic retinopathy as part of a systematic programme that meets national standards,Diabetes Data,http://www.england.nhs.uk/statistics/statistical-work-areas/integrated-performance-measures-monitoring/diabetes-data/
Integrated Performance Measures Monitoring,Number of women seen and assessed by a healthcare professional within 12 weeks and 6 days of their maternity,Maternity Data,http://www.england.nhs.uk/statistics/statistical-work-areas/integrated-performance-measures-monitoring/maternity-data/
Integrated Performance Measures Monitoring,Number of eligible people that have been offered and received NHS Health C,NHS Health Checks,http://www.england.nhs.uk/statistics/statistical-work-areas/integrated-performance-measures-monitoring/nhs-health-checks-data/
Integrated Performance Measures Monitoring,Delayed transfers of care from Acute or Non-Acute care settings by Commissioner,Deleyaed Tranfer of Care,http://www.england.nhs.uk/statistics/statistical-work-areas/integrated-performance-measures-monitoring/com-dtoc-data/
Maternity and Breast Feeding,"This collection reports on the number and proportion of women seen and assessed by a healthcare professional within 12 weeks and 6 days of their maternity, the number and proportion of mothers’ who have initiated or not initiated breastfeeding and the number and proportion of infants who have been fully, partially or not at all breastfed at 6-8 weeks",Maternity and Breast Feeding,http://www.england.nhs.uk/statistics/statistical-work-areas/maternity-and-breastfeeding/
Mental Health Community Teams Activity,"The Quarterly Mental Health Community Teams Activity return collects data on new cases taken on in the year by Early Intervention (EI) in psychosis Services, number of patients on Care Programme Approach (CPA) followed up within 7 days of discharge from psychiatric inpatient care and gate keeping inpatient admissions by Crisis Resolution Home Treatment (CRHT) teams",MH Community Teams Activity,http://www.england.nhs.uk/statistics/statistical-work-areas/mental-health-community-teams-activity/
Mixed-Sex Accommodation Data,"The NHS Operating Framework for 2012-2013 confirmed that all providers of NHS funded care are expected to eliminate mixed-sex accommodation, except where it is in the overall best interest of the patient.

From 1 December 2010, the collection of monthly Mixed-Sex Accommodation (MSA) breaches was introduced. NHS organisations submit data on the number of occurrences of unjustified mixing in relation to sleeping accommodation. The collection will enable the analysis and publication of consistently defined data to allow patients and members of the public to understand the extent to which MSA is occurring at individual organisations.
",Mixed-Sex Accommodation Data,http://www.england.nhs.uk/statistics/statistical-work-areas/mixed-sex-accommodation/msa-data/
VTE Risk Assessment,This section of the website provides information on the number and proportion of admitted adult patients in England who have been risk assessed for VTE in 2014/15 (April 2014 to March 2015).,VTE Risk Assessment 2014/15,http://www.england.nhs.uk/statistics/statistical-work-areas/vte/vte-risk-assessment-2014-15/
Winter Pressures Daily Situation,"Daily SITREPs are collected from acute trusts each weekday during winter and indicate where there are any winter pressures on the service around the country such as A&E closures, cancelled operations, bed pressures, or ambulance delays.

Data collection for Winter 2013-14 commenced on 4th November 2013 and data will be published from 15th November 2013. The final publication for Winter 2013-14 was on 4th April 2014 covering the period up to 30th March 2014.

This page contains management data which has been collected on a rapid turn-round basis from the NHS. The speed of the collection only permits minimal validation to be undertaken but the data is considered ‘fit-for-purpose’.",Winter Pressures Daily SitRep 2013-14 Data,http://www.england.nhs.uk/statistics/statistical-work-areas/winter-daily-sitreps/winter-pressures-daily-sitrep-2013-14-data-2/
